"","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","Batter_G","AB","R","Batter_H","Batter_HR","RBI","SB","Batter_BB","BA","OBP","SLG","OPS","OPS+","HoF"
"108",99,40,17,70.1,43.6,56.9,56.3,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,1
"109",99,40,17,70.1,43.6,56.9,56.3,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,0
"110",32,15,12,31.5,28.9,30.2,58.2,1299,4630,731,1274,108,489,231,381,0.275,0.34,0.425,0.765,102,0
"111",91,47,23,69.4,42.4,55.9,53.4,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,1
"112",91,47,23,69.4,42.4,55.9,53.4,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,0
"113",175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,1
"114",175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,0
"115",24,16,15,12.3,15.9,14.1,53.4,1559,4532,629,1188,251,824,6,527,0.262,0.339,0.485,0.824,112,0
"116",58,34,19,50.7,30.8,40.7,58.2,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110,0
"117",31,19,12,24.8,24.6,24.7,53.4,1183,4058,619,1107,213,731,11,598,0.273,0.376,0.498,0.874,134,0
"118",59,28,13,38.1,32.9,35.5,56.3,1537,5410,889,1375,320,950,56,854,0.254,0.358,0.489,0.847,119,0
"119",52,19,15,28.6,26.2,27.4,58.2,1731,6642,930,1794,270,958,109,472,0.27,0.319,0.459,0.778,104,0
"120",209,59,16,59.5,41.2,50.3,56.7,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140,1
"121",209,59,16,59.5,41.2,50.3,56.7,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140,0
"122",63,37,16,32,29,30.5,44.3,1973,7297,914,2153,246,1178,7,730,0.295,0.36,0.455,0.815,118,0
"123",109,38,16,32.4,25.7,29,55.5,2152,8142,1200,2327,140,923,294,718,0.286,0.343,0.398,0.741,94,0
